Indicador;Classificação;Faixa de Referência;Interpretação;Classificação
Dívida Líquida/EBIT;Péssimo;Acima de 4x;Definição: A Dívida Líquida/EBIT mede quantos anos de EBIT (lucro antes de juros e impostos) seriam necessários para quitar a dívida líquida (dívida total menos caixa e equivalentes). Fórmula: (Dívida de Curto Prazo + Dívida de Longo Prazo - Caixa e Equivalentes) ÷ EBIT. O EBIT reflete o lucro operacional, excluindo efeitos de financiamento e impostos, sendo um proxy da capacidade de geração de resultados operacionais. Relevância: Essencial para avaliar a sustentabilidade financeira em cenários de juros altos (10-12% em 2025), especialmente em setores alavancados como infraestrutura (ex.: CCR, CCRO3) ou mineração (ex.: VALE3). Interpretação: Acima de 4x indica alavancagem extrema, comum em empresas em crise financeira (ex.: Oi, OIBR3, com histórico de reestruturação) ou setores cíclicos em baixa (ex.: construção, MRVE3, durante recessões). Em 2025, com custo de capital elevado, o serviço da dívida consome grande parte do fluxo de caixa, aumentando o risco de default ou necessidade de aumento de capital, diluindo acionistas. Riscos incluem EBIT volátil (ex.: VALE3 em ciclos de minério baixo, com variação > 30% em 3 anos), dívidas de curto prazo (ex.: 60% do total vencendo em 1 ano) ou exposição a moedas estrangeiras sem hedge (ex.: dívida em dólar, comum em exportadoras). Investidores devem evitar, salvo planos robustos de recuperação, como desinvestimentos (ex.: Petrobrás, PETR4, vendeu ativos em 2016-2018) ou aumento de EBIT via eficiência operacional (ex.: corte de custos). Cuidados: Verifique a cobertura de juros (EBIT/juros > 2x é desejável), a estrutura da dívida (longo prazo reduz riscos de refinanciamento), e a consistência do EBIT (variação < 15% em 5 anos é ideal). Setores intensivos em capital podem tolerar alavancagem maior, mas exigem fluxo de caixa previsível (ex.: utilities, EGIE3, com margens estáveis). Exemplo: OIBR3, com dívida líquida/EBIT de 5x em 2020, enfrentou reestruturação judicial. Cenário de 2025: Juros altos amplificam o risco, exigindo análise de balanços trimestrais, relatórios de gestão e tendências macroeconômicas (ex.: preços de commodities para VALE3). Oportunidades surgem em empresas com planos claros de desalavancagem, como venda de ativos ou entrada em mercados de maior margem, mas exigem governança sólida e histórico de execução. Compare com médias setoriais (ex.: infraestrutura ~3x, mineração ~2,5x) para contextualizar.;Péssimo
;Ruim;3 a 4x;"Interpretação: Endividamento elevado, exigindo 3-4 anos de EBIT para quitação, um nível preocupante para a maioria dos setores, exceto os muito intensivos em capital (ex.: energia, CMIG4). Detalhes: Em 2025, com Selic de 10-12%, o custo da dívida pressiona o fluxo de caixa, especialmente em empresas com EBIT volátil (ex.: siderurgia, GGBR4, em ciclos de baixa demanda). O indicador sugere risco moderado de dificuldades financeiras, mas viável se a empresa implementar desalavancagem (ex.: venda de ativos, como PETR4 em 2016-2018) ou se beneficiar de um ciclo setorial favorável (ex.: alta do minério para VALE3). Riscos: EBIT instável (variação > 20% em 3 anos), dívidas de curto prazo (> 50% do total), ou exposição cambial sem hedge. Oportunidades: Empresas com estratégias de redução de CAPEX, renegociação de dívidas ou crescimento de receita (ex.: exportações para GGBR4). Cuidados: Analise a cobertura de juros (EBIT/juros > 3x), fluxo de caixa livre (FCL > 0), e relatórios de gestão para confirmar planos estratégicos. Exemplo: CSNA3, com dívida líquida/EBIT de 3,5x em períodos de baixa, enfrentou desafios, mas recuperou com alta do aço. Cenário de 2025: Setores cíclicos exigem cautela; compare com médias setoriais (ex.: energia ~2,5x) e monitore governança.";Ruim
;Moderado;1,5 a 3x;Interpretação: Endividamento moderado, pagável em 1,5-3 anos de EBIT, aceitável em setores com fluxo de caixa estável (ex.: saneamento, SBSP3). Detalhes: Em 2025, com juros altos, empresas nessa faixa precisam de EBIT consistente (variação < 15% em 5 anos) para evitar pressão financeira. Setores defensivos (ex.: consumo, ABEV3) são menos arriscados, enquanto empresas cíclicas (ex.: VALE3) podem enfrentar volatilidade. **Oportunidades**: Crescimento de receita (ex.: expansão de mercado) ou eficiência operacional (ex.: redução de custos para LREN3). **Riscos**: Aumento de taxas, queda de demanda, ou exposição cambial. **Cuidados**: Verifique a estrutura da dívida (prazos longos são mais seguros), cobertura de juros (EBIT/juros > 4x), e fluxo de caixa livre. Exemplo: EGIE3, com dívida líquida/EBIT de 2x, mantém estabilidade devido a contratos de longo prazo. Cenário de 2025: Compare com médias setoriais (ex.: utilities ~2x) e analise tendências macroeconômicas (ex.: consumo estável) para confirmar viabilidade.;Moderado
;Bom;0 a 1,5x;"Interpretação: Endividamento controlado, quitável em menos de 1,5 anos de EBIT, indicando saúde financeira sólida. Detalhes: Comum em empresas maduras com forte geração de caixa (ex.: Weg, WEGE3). Em 2025, essa faixa reflete resiliência a juros altos, permitindo dividendos ou investimentos. Oportunidades: Expansão estratégica ou aquisições. Riscos: Subinvestimento em setores dinâmicos (ex.: tecnologia, TOTS3). Cuidados: Analise a alocação de capital (ex.: dividendos vs. reinvestimento), fluxo de caixa livre (FCL > CAPEX), e consistência do EBIT. Exemplo: ABEV3, com dívida líquida/EBIT de 1x, mantém margens estáveis. Cenário de 2025: Favorece empresas com margens altas e baixa alavancagem; compare com peers (ex.: consumo ~1x).";Bom
;Ótimo;Negativa;Interpretação: Caixa líquido supera a dívida, refletindo saúde financeira excepcional. Detalhes: Comum em empresas de tecnologia (ex.: Apple) ou com reservas elevadas (ex.: PETR4 em ciclos de alta). Em 2025, permite flexibilidade para R&D, aquisições ou dividendos. Oportunidades: Buybacks ou expansão global (ex.: WEGE3). Riscos: Caixa ocioso rendendo abaixo da Selic. Cuidados: Verifique alocação de caixa, fluxo de caixa operacional (FCO > CAPEX), e governança. Exemplo: Nubank (NUBR33) com caixa líquido em 2023. Cenário de 2025: Empresas com caixa elevado são resilientes, mas exigem estratégias de reinvestimento eficazes.;Ótimo
Dívida Líquida/EBITDA;Péssimo;Acima de 3,5x;"Definição: A Dívida Líquida/EBITDA mede quantos anos de EBITDA (lucro antes de juros, impostos, depreciação e amortização) seriam necessários para quitar a dívida líquida. Fórmula: (Dívida Total - Caixa) ÷ EBITDA. O EBITDA é um proxy da geração de caixa operacional, excluindo efeitos de depreciação e amortização. Relevância: Amplamente usado por ser menos sensível a políticas contábeis, avaliando a capacidade de pagamento da dívida. Interpretação: Acima de 3,5x indica alavancagem crítica, comum em empresas em crise (ex.: OIBR3) ou setores cíclicos em baixa (ex.: siderurgia, CSNA3). Em 2025, com juros de 10-12%, o custo da dívida pressiona o fluxo de caixa, aumentando riscos de default ou reestruturação. Riscos: EBITDA volátil (ex.: VALE3), dívidas de curto prazo, ou exposição cambial. Oportunidades: Reestruturação robusta (ex.: PETR4 em 2016-2018). Cuidados: Verifique cobertura de juros (EBITDA/juros > 2x), fluxo de caixa livre, e relatórios de gestão. Exemplo: MRVE3, com dívida/EBITDA de 4x em 2020, enfrentou dificuldades. Cenário de 2025: Juros altos exigem análise rigorosa; compare com médias setoriais (ex.: infraestrutura ~3x).";Péssimo
;Ruim;2,5 a 3,5x;Interpretação: Endividamento elevado, exigindo 2,5-3,5 anos de EBITDA para quitação. Detalhes: Comum em setores intensivos em capital (ex.: energia, CMIG4). Em 2025, a pressão financeira aumenta em empresas cíclicas (ex.: GGBR4). Oportunidades: Desalavancagem via venda de ativos ou ciclo favorável. Riscos: Queda de receita ou aumento de custos. Cuidados: Analise estrutura da dívida, cobertura de juros (EBITDA/juros > 3x), e tendências setoriais. Exemplo: RAIL3, com dívida/EBITDA de 3x, enfrenta desafios logísticos. Cenário de 2025: Compare com peers (ex.: energia ~2x) e monitore governança.;Ruim
;Moderado;1 a 2,5x;"Interpretação: Endividamento moderado, aceitável em setores estáveis (ex.: varejo, LREN3). Detalhes: Em 2025, exige EBITDA estável (variação < 15%) e fluxo de caixa livre positivo. **Oportunidades**: Crescimento de receita ou eficiência operacional. **Riscos**: Aumento de taxas ou queda de demanda. **Cuidados**: Verifique estrutura da dívida e cobertura de juros (EBITDA/juros > 4x). Exemplo: EGIE3, com dívida/EBITDA de 1,5x, mantém estabilidade. Cenário de 2025: Favorece setores defensivos; compare com médias setoriais (ex.: varejo ~1,5x).";Moderado
;Bom;0 a 1x;Interpretação: Endividamento baixo, indicando forte capacidade de pagamento. Detalhes: Comum em empresas maduras (ex.: ABEV3). Em 2025, reflete resiliência a juros altos. Oportunidades: Dividendos ou expansão. Riscos: Subinvestimento. Cuidados: Analise alocação de capital e fluxo de caixa livre. Exemplo: WEGE3, com dívida/EBITDA de 0,5x, mantém margens altas. Cenário de 2025: Empresas com baixo endividamento são atrativas.;Bom
;Ótimo;Negativa;Interpretação: Caixa líquido excede a dívida, indicando saúde excepcional. Detalhes: Comum em tecnologia (ex.: NUBR33). Em 2025, permite flexibilidade estratégica. Oportunidades: Aquisições ou R&D. Riscos: Caixa ocioso. Cuidados: Verifique alocação de caixa e governança. Exemplo: Apple, com caixa líquido elevado. Cenário de 2025: Empresas com caixa robusto são resilientes.;Ótimo
